event,event_time,symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,last_qty,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,open_price,high_price,low_price,base_volume,quote_volume,open_time,close_time,first_trade_id,last_trade_id,trade_count
24hrTicker,2025-06-10T15:40:33.795+07:00,SOLUSDT,7.27,4.814,156.95757316,151.01,158.28,0.2,158.28,808.39,158.29,412.837,151.01,161.82,151.0,3229784.718,5.069391711649E8,2025-06-09T15:40:33.704+07:00,2025-06-10T15:40:33.704+07:00,1324971579,1326974625,2003047
24hrTicker,2025-06-10T15:40:34.801+07:00,SOLUSDT,7.26,4.807,156.9576009,151.01,158.28,0.25,158.28,578.316,158.29,399.489,151.02,161.82,151.0,3229769.713,5.0693690562335E8,2025-06-09T15:40:34.779+07:00,2025-06-10T15:40:34.779+07:00,1324971580,1326974626,2003047
24hrTicker,2025-06-10T15:40:35.801+07:00,SOLUSDT,7.26,4.807,156.95760237,151.02,158.28,0.3,158.28,404.57,158.29,399.489,151.02,161.82,151.0,3229768.974,5.0693679438257E8,2025-06-09T15:40:35.786+07:00,2025-06-10T15:40:35.786+07:00,1324971581,1326974627,2003047
24hrTicker,2025-06-10T15:40:36.800+07:00,SOLUSDT,7.27,4.814,156.95760253,151.02,158.29,0.095,158.28,88.779,158.29,462.601,151.02,161.82,151.0,3229769.066,5.0693680933006E8,2025-06-09T15:40:36.793+07:00,2025-06-10T15:40:36.793+07:00,1324971582,1326974630,2003049
24hrTicker,2025-06-10T15:40:37.801+07:00,SOLUSDT,7.27,4.814,156.95760287,151.02,158.28,0.05,158.28,18.71,158.29,490.601,151.01,161.82,151.0,3229768.944,5.0693679126862E8,2025-06-09T15:40:37.766+07:00,2025-06-10T15:40:37.766+07:00,1324971583,1326974632,2003050
24hrTicker,2025-06-10T15:40:38.795+07:00,SOLUSDT,7.27,4.814,156.95760311,151.02,158.28,0.05,158.28,37.056,158.29,490.058,151.01,161.82,151.0,3229769.537,5.0693688513409E8,2025-06-09T15:40:38.734+07:00,2025-06-10T15:40:38.734+07:00,1324971583,1326974635,2003053
24hrTicker,2025-06-10T15:40:39.801+07:00,SOLUSDT,7.25,4.801,156.95768227,151.01,158.26,0.086,158.26,22.516,158.27,1372.63,151.01,161.82,151.0,3229760.016,5.069356464104E8,2025-06-09T15:40:39.784+07:00,2025-06-10T15:40:39.784+07:00,1324971589,1326974723,2003135
24hrTicker,2025-06-10T15:40:40.801+07:00,SOLUSDT,7.23,4.788,156.95806463,151.0,158.24,0.042,158.24,270.603,158.25,808.157,151.01,161.82,151.01,3229622.512,5.0691529896285E8,2025-06-09T15:40:40.786+07:00,2025-06-10T15:40:40.786+07:00,1324971676,1326974780,2003105
24hrTicker,2025-06-10T15:40:41.795+07:00,SOLUSDT,7.23,4.788,156.95806748,151.0,158.24,7.229,158.23,621.438,158.24,635.937,151.01,161.82,151.01,3229629.699,5.0691643623373E8,2025-06-09T15:40:41.744+07:00,2025-06-10T15:40:41.744+07:00,1324971676,1326974815,2003140
24hrTicker,2025-06-10T15:40:42.800+07:00,SOLUSDT,7.23,4.788,156.95807505,151.01,158.24,15.213,158.23,621.797,158.24,620.724,151.01,161.82,151.01,3229644.2,5.0691873674173E8,2025-06-09T15:40:42.739+07:00,2025-06-10T15:40:42.739+07:00,1324971677,1326974819,2003143
24hrTicker,2025-06-10T15:40:43.801+07:00,SOLUSDT,7.22,4.781,156.95891391,151.01,158.23,0.425,158.23,486.336,158.24,620.724,151.01,161.82,151.01,3229189.305,5.0685004611628E8,2025-06-09T15:40:43.786+07:00,2025-06-10T15:40:43.786+07:00,1324971710,1326974821,2003112
